Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974782;Vis;Spurs;1;2;0;0;87;77;V;38;93;1;12;10;16;63;14;38;25;8;3;11;4;6;52;14;0;0;31;82;8;28;7;9;51;8;40;18;3;5;20;23;5;32;15;0;0
400974782;L;Bulls;0;0;1;2;77;87;D;31;82;8;28;7;9;51;8;40;18;3;5;20;23;5;32;15;0;0;38;93;1;12;10;16;63;14;38;25;8;3;11;4;6;52;14;0;0
400974783;Vis;Mavericks;1;0;1;2;91;107;D;31;84;13;31;16;21;47;8;33;19;6;0;14;19;0;30;19;1;0;39;82;11;47;18;22;58;8;46;17;12;4;15;13;4;50;24;2;0
400974783;L;Rockets;1;2;1;0;107;91;V;39;82;11;47;18;22;58;8;46;17;12;4;15;13;4;50;24;2;0;31;84;13;31;16;21;47;8;33;19;6;0;14;19;0;30;19;1;0
400974784;Vis;Warriors;1;2;1;0;101;111;V;33;84;12;38;23;27;55;12;34;20;10;7;17;24;32;36;28;3;0;36;77;10;27;29;37;49;6;34;20;8;4;14;16;21;48;25;0;0
400974784;L;Grizzlies;1;0;1;2;111;101;D;36;77;10;27;29;37;49;6;34;20;8;4;14;16;21;48;25;0;0;33;84;12;38;23;27;55;12;34;20;10;7;17;24;32;36;28;3;0
400974785;Vis;Trail Blazers;1;1;0;2;110;113;V;34;81;11;28;31;35;55;13;29;18;10;6;16;22;2;26;22;1;0;42;80;7;18;22;30;42;7;28;22;9;8;14;12;8;54;23;1;0
400974785;L;Bucks;0;2;1;1;113;110;D;42;80;7;18;22;30;42;7;28;22;9;8;14;12;8;54;23;1;0;34;81;11;28;31;35;55;13;29;18;10;6;16;22;2;26;22;1;0
400974786;Vis;Kings;1;0;1;1;79;96;D;31;85;8;22;9;13;47;12;27;15;6;3;14;19;12;34;21;1;0;37;85;10;30;12;20;67;18;40;25;7;2;16;15;16;52;19;1;0
400974786;L;Nuggets;1;1;1;0;96;79;V;37;85;10;30;12;20;67;18;40;25;7;2;16;15;16;52;19;1;0;31;85;8;22;9;13;47;12;27;15;6;3;14;19;12;34;21;1;0
